,ID,rmsd,score
0,ID 0,9.614933037267358,58.8541
1,ID 1,9.846609156019962,58.8118
2,ID 2,9.739261340721857,57.5218
3,ID 3,8.444501978699542,55.0053
4,ID 4,4.004095427157839,52.4603
5,ID 5,9.114066410837541,49.1698
6,ID 6,5.361546916954685,48.7993
7,ID 7,9.560900649914123,47.9151
8,ID 8,6.238844025286241,47.621
9,ID 9,6.065842928341352,47.2246
10,ID 10,5.545273340751781,47.0123
11,ID 11,5.363897132249047,46.9545
12,ID 12,8.127036768783851,46.1814
13,ID 13,5.639363298234922,44.4926
14,ID 14,9.141153232803214,44.1647
15,ID 15,6.338080983085488,43.7437
16,ID 16,10.037894867182734,43.1361
17,ID 17,10.11006450138739,42.4614
18,ID 18,6.660545946620762,41.2727
19,ID 19,8.165045502996263,40.763
20,ID 20,8.351530951902067,40.5951
21,ID 21,9.490727109158206,40.3726
22,ID 22,8.076027668616621,39.4502
23,ID 23,10.161052699113903,32.5914
24,ID 24,8.538733133805385,32.5478
